Name,Formula,State,Formula-Raw,Phase-Flag,Molecular-Weight,hf298,T_low,T_high,dh298_0,a1,a2,a3,a4,a5,a6,a7,b1,b2,eq
triply deuterated ammonia,ND3,g,N   1.00D   3.00    0.00    0.00    0.00,0,20.049046,-58576.719,1000,5000,0,0,0,3.1961566,0.006731176,-2.64E-06,4.76E-10,-3.28E-14,-8396.6527,4.16290718,1
nitrogen monofluoride,NF,g,N   1.00F   1.00    0.00    0.00    0.00,0,33.0051432,232990.5,1000,6000,8738.105,800298.733,-3237.69658,8.70340887,-0.002701026,9.15E-07,-1.37E-10,7.23E-15,46428.1945,-30.19933066,1
nitrogen difluoride,NF2,g,N   1.00F   2.00    0.00    0.00    0.00,0,52.0035464,34421.447,1000,6000,10581.605,-194501.0078,-353.603407,7.26349436,-8.40E-05,2.33E-08,-2.67E-12,1.24E-16,3435.44059,-13.36102396,1
nitrogen trifluoride,NF3,g,N   1.00F   3.00    0.00    0.00    0.00,0,71.0019496,-131700,1000,6000,11854.511,-349626.876,-497.372867,10.36866128,8.90E-05,5.88E-08,-3.16E-12,1.71E-16,-17131.83352,-30.98920773,1
nitrogen monohydride,NH,g,N   1.00H   1.00    0.00    0.00    0.00,0,15.01468,357032.001,1000,6000,8601.103,1958141.991,-5782.8613,9.33574202,-0.00229291,6.08E-07,-6.65E-11,2.38E-15,78989.1234,-41.1697,1
nitrogen monohydride monofluoride,NHF,g,N   1.00H   1.00F   1.00    0.00    0.00,0,34.0130832,112000,1000,6000,10029.728,901385.712,-3463.38778,8.70579849,-0.000401895,2.32E-08,6.28E-12,-6.28E-16,33370.5903,-29.0047853,1
nitrogen monohydride difluoride,NHF2,g,N   1.00H   1.00F   2.00    0.00    0.00,0,53.0114864,-103000,1000,6000,10807.439,739397.516,-4004.38466,12.2131267,-0.000696991,1.27E-07,-1.25E-11,5.09E-16,9133.63846,-48.677746,1
nitrogen dihydride,NH2,g,N   1.00H   2.00    0.00    0.00    0.00,0,16.02262,189134.662,1000,6000,9937.815,1669007.546,-5610.37947,9.97187503,-0.001178276,4.23E-07,-6.54E-11,3.62E-15,56890.5776,-43.7935341,1
nitrogen dihydride monofluoride,NH2F,g,N   1.00H   2.00F   1.00    0.00    0.00,0,35.0210232,-75000,1000,6000,10104.976,1927205.34,-7500.44716,13.9558958,-0.001184804,2.05E-07,-1.91E-11,7.39E-16,35529.2734,-67.3118532,1
nitrogen trihydride,NH3,g,N   1.00H   3.00    0.00    0.00    0.00,0,17.03056,-45940,1000,6000,10043.121,2452389.535,-8040.89424,12.71346201,-0.000398019,3.55E-08,2.53E-12,-3.32E-16,43861.9196,-64.6233025,1
nitrogen monoxide,NO,g,N   1.00O   1.00    0.00    0.00    0.00,0,30.00614,91271.31,1000,6000,9179.11,223901.8716,-1289.651623,5.43393603,-0.000365603,9.88E-08,-1.42E-11,9.38E-16,17503.17656,-8.50166709,1
nitrogen monoxide monochloride,NOCl,g,N   1.00O   1.00CL  1.00    0.00    0.00,0,65.45884,52698.828,1000,6000,11364.488,-613341.333,-391.929883,9.13891722,-0.002605665,1.30E-06,-2.22E-10,1.28E-14,4517.32842,-23.07323931,1
nitrogen monoxide monofluoride,NOF,g,N   1.00O   1.00F   1.00    0.00    0.00,0,49.0045432,-65000,1000,6000,10720.271,1889069.274,-6731.02266,14.19018767,-0.003693125,9.94E-07,-1.08E-10,4.21E-15,32099.0078,-63.7026684,1
nitrogen monoxide trifluoride,NOF3,g,N   1.00O   1.00F   3.00    0.00    0.00,0,87.0013496,-187000,1000,6000,13697.653,-278621.894,-1252.17125,13.9081021,-0.000356607,7.78E-08,-8.85E-12,4.08E-16,-20257.4985,-51.0677772,1
nitrite,NO2,g,N   1.00O   2.00    0.00    0.00    0.00,0,46.00554,34193.019,1000,6000,10208.175,721300.157,-3832.6152,11.13963285,-0.002238062,6.55E-07,-7.61E-11,3.33E-15,25024.97403,-43.0512991,1
nitrite monochloride,NO2Cl,g,N   1.00O   2.00CL  1.00    0.00    0.00,0,81.45824,12500,1000,6000,12204.839,-108677.3327,-1452.231167,11.05656962,-0.00040001,9.10E-08,-1.04E-11,4.78E-16,6294.26732,-35.2124016,1
nitrite monofluoride,NO2F,g,N   1.00O   2.00F   1.00    0.00    0.00,0,65.0039432,-109000,1000,6000,11346.581,-100857.7842,-1704.722752,11.22954945,-0.000468522,1.05E-07,-1.19E-11,5.47E-16,-6891.71918,-38.497884,1
nitrate,NO3,g,N   1.00O   3.00    0.00    0.00    0.00,0,62.00494,71128,1000,6000,10958.914,-394387.271,-824.426353,10.61325843,-0.000244875,5.41E-08,-6.20E-12,2.87E-16,8982.01173,-34.446665,1
nitrate monofluoride,NO3F,g,N   1.00O   3.00F   1.00    0.00    0.00,0,81.0033432,15000,1000,6000,14444.156,-341211.507,-2353.82354,16.2810625,-0.001910372,4.69E-07,-5.69E-11,2.72E-15,9760.03099,-65.5809085,1
dinitrogen,N2,g,N   2.00    0.00    0.00    0.00    0.00,0,28.01348,0,1000,6000,8670.104,587712.406,-2239.249073,6.06694922,-0.000613969,1.49E-07,-1.92E-11,1.06E-15,12832.10415,-15.86639599,1
NCN,N2C,g,N   2.00C   1.00    0.00    0.00    0.00,0,40.02418,500795.485,1000,6000,10519.089,-148726.101,-774.549005,7.99515301,-0.000162733,2.89E-08,-3.02E-12,1.98E-16,61923.3854,-21.13086328,1
dinitrogen difluoride,N2F2,g,N   2.00F   2.00    0.00    0.00    0.00,0,66.0102864,62373.546,1000,6000,12868.756,-182488.386,-953.402996,10.6979548,-0.000275997,6.06E-08,-6.91E-12,3.19E-16,9283.46696,-32.4696859,1
dinitrogen tetrafluoride,N2F4,g,N   2.00F   4.00    0.00    0.00    0.00,0,104.0070928,-22000,1000,6000,17811.571,-518807.373,-670.397906,16.5013085,-0.00020077,4.44E-08,-5.10E-12,2.36E-16,-5280.40968,-60.406659,1
